name,month,year,has_snapshot
ClickUp,OCT,2019,True
ClickUp,OCT,2020,True
ClickUp,OCT,2021,True
ClickUp,OCT,2022,True
ClickUp,OCT,2023,True
ClickUp,JUN,2024,True
HubSpot,NOV,2019,False
HubSpot,NOV,2020,False
HubSpot,OCT,2021,True
HubSpot,OCT,2022,True
HubSpot,OCT,2023,True
HubSpot,JUN,2024,True
Salesforce,NOV,2019,False
Salesforce,NOV,2020,False
Salesforce,NOV,2021,False
Salesforce,NOV,2022,False
Salesforce,NOV,2023,False
Salesforce,JUN,2024,True
Slack,OCT,2019,True
Slack,OCT,2020,True
Slack,OCT,2021,True
Slack,OCT,2022,True
Slack,OCT,2023,True
Slack,JUN,2024,True
Buffer,OCT,2019,True
Buffer,OCT,2020,True
Buffer,OCT,2021,True
Buffer,OCT,2022,True
Buffer,OCT,2023,True
Buffer,JUN,2024,True
Hypercontext,NOV,2019,False
Hypercontext,NOV,2020,False
Hypercontext,OCT,2021,True
Hypercontext,OCT,2022,True
Hypercontext,OCT,2023,True
Hypercontext,JUN,2024,True
DocuSign,NOV,2019,False
DocuSign,NOV,2020,False
DocuSign,NOV,2021,False
DocuSign,NOV,2022,False
DocuSign,OCT,2023,True
DocuSign,JUN,2024,True
OpenPhone,NOV,2019,False
OpenPhone,NOV,2020,False
OpenPhone,NOV,2021,False
OpenPhone,OCT,2022,True
OpenPhone,OCT,2023,True
OpenPhone,JUN,2024,True
Pumble,NOV,2019,False
Pumble,NOV,2020,False
Pumble,OCT,2021,True
Pumble,OCT,2022,True
Pumble,OCT,2023,True
Pumble,JUN,2024,True
Tableau,OCT,2019,True
Tableau,OCT,2020,True
Tableau,OCT,2021,True
Tableau,OCT,2022,True
Tableau,OCT,2023,True
Tableau,JUN,2024,True
Quip,OCT,2019,True
Quip,OCT,2020,True
Quip,OCT,2021,True
Quip,OCT,2022,True
Quip,OCT,2023,True
Quip,JUN,2024,True
MailChimp,NOV,2019,False
MailChimp,NOV,2020,False
MailChimp,OCT,2021,True
MailChimp,OCT,2022,True
MailChimp,OCT,2023,True
MailChimp,JUN,2024,True
Deskera,NOV,2019,False
Deskera,NOV,2020,False
Deskera,OCT,2021,True
Deskera,OCT,2022,True
Deskera,OCT,2023,True
Deskera,JUN,2024,True
UserGuiding,NOV,2019,False
UserGuiding,OCT,2020,True
UserGuiding,OCT,2021,True
UserGuiding,OCT,2022,True
UserGuiding,OCT,2023,True
UserGuiding,JUL,2024,False
PickFu,NOV,2019,False
PickFu,NOV,2020,False
PickFu,NOV,2021,False
PickFu,NOV,2022,False
PickFu,NOV,2023,False
PickFu,JUL,2024,False
Planable,OCT,2019,True
Planable,OCT,2020,True
Planable,OCT,2021,True
Planable,OCT,2022,True
Planable,OCT,2023,True
Planable,JUN,2024,True
Databox,OCT,2019,True
Databox,OCT,2020,True
Databox,OCT,2021,True
Databox,OCT,2022,True
Databox,OCT,2023,True
Databox,JUN,2024,True
Trustmary,NOV,2019,False
Trustmary,OCT,2020,True
Trustmary,OCT,2021,True
Trustmary,OCT,2022,True
Trustmary,OCT,2023,True
Trustmary,JUN,2024,True
Evernote,OCT,2019,True
Evernote,OCT,2020,True
Evernote,OCT,2021,True
Evernote,OCT,2022,True
Evernote,OCT,2023,True
Evernote,JUN,2024,True
Canva,OCT,2019,True
Canva,OCT,2020,True
Canva,OCT,2021,True
Canva,OCT,2022,True
Canva,OCT,2023,True
Canva,JUN,2024,True
Clockify,NOV,2019,False
Clockify,NOV,2020,False
Clockify,NOV,2021,False
Clockify,OCT,2022,True
Clockify,OCT,2023,True
Clockify,JUN,2024,True
Figma,OCT,2019,True
Figma,OCT,2020,True
Figma,OCT,2021,True
Figma,OCT,2022,True
Figma,OCT,2023,True
Figma,JUN,2024,True
GitHub,OCT,2019,True
GitHub,OCT,2020,True
GitHub,OCT,2021,True
GitHub,OCT,2022,True
GitHub,OCT,2023,True
GitHub,JUN,2024,True
Jira,OCT,2019,True
Jira,OCT,2020,True
Jira,OCT,2021,True
Jira,OCT,2022,True
Jira,OCT,2023,True
Jira,JUN,2024,True
Microsoft 365,NOV,2019,False
Microsoft 365,NOV,2020,False
Microsoft 365,NOV,2021,False
Microsoft 365,NOV,2022,False
Microsoft 365,OCT,2023,True
Microsoft 365,JUN,2024,True
Monday,OCT,2019,True
Monday,OCT,2020,True
Monday,OCT,2021,True
Monday,OCT,2022,True
Monday,OCT,2023,True
Monday,JUN,2024,True
Postman,NOV,2019,False
Postman,OCT,2020,True
Postman,OCT,2021,True
Postman,OCT,2022,True
Postman,OCT,2023,True
Postman,JUN,2024,True
RapidAPI,NOV,2019,False
RapidAPI,NOV,2020,False
RapidAPI,NOV,2021,False
RapidAPI,NOV,2022,False
RapidAPI,OCT,2023,True
RapidAPI,JUN,2024,True
Rippling,NOV,2019,False
Rippling,NOV,2020,False
Rippling,NOV,2021,False
Rippling,NOV,2022,False
Rippling,NOV,2023,False
Rippling,JUL,2024,False
Wrike,NOV,2019,False
Wrike,NOV,2020,False
Wrike,NOV,2021,False
Wrike,OCT,2022,True
Wrike,OCT,2023,True
Wrike,JUN,2024,True
